分类: 📺央视频道, 名称: CCTV1, 有效: 7, IPv4: 67, IPv6: 0, 最小延迟: 26 ms, 最高速率: 11.91 MiB/s, 平均速率: 8.23 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV2, 有效: 11, IPv4: 52, IPv6: 0, 最小延迟: 25 ms, 最高速率: 17.21 MiB/s, 平均速率: 7.03 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.36, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV3, 有效: 8, IPv4: 35, IPv6: 0, 最小延迟: 37 ms, 最高速率: 11.66 MiB/s, 平均速率: 6.58 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV4, 有效: 10, IPv4: 34, IPv6: 0, 最小延迟: 37 ms, 最高速率: 11.82 MiB/s, 平均速率: 5.29 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV4美洲, 有效: 2, IPv4: 13, IPv6: 0, 最小延迟: 377 ms, 最高速率: 0.57 MiB/s, 平均速率: 0.43 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV4欧洲, 有效: 2, IPv4: 13, IPv6: 0, 最小延迟: 377 ms, 最高速率: 0.56 MiB/s, 平均速率: 0.43 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV5, 有效: 12, IPv4: 52, IPv6: 0, 最小延迟: 27 ms, 最高速率: 10.93 MiB/s, 平均速率: 3.40 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.88, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV5+, 有效: 8, IPv4: 45, IPv6: 0, 最小延迟: 40 ms, 最高速率: 7.75 MiB/s, 平均速率: 2.48 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.08, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV6, 有效: 8, IPv4: 50, IPv6: 0, 最小延迟: 26 ms, 最高速率: 11.81 MiB/s, 平均速率: 5.72 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.88, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV7, 有效: 11, IPv4: 46, IPv6: 0, 最小延迟: 26 ms, 最高速率: 8.50 MiB/s, 平均速率: 2.53 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.16, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV8, 有效: 8, IPv4: 38, IPv6: 0, 最小延迟: 36 ms, 最高速率: 10.50 MiB/s, 平均速率: 4.61 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV9, 有效: 10, IPv4: 49, IPv6: 0, 最小延迟: 36 ms, 最高速率: 12.59 MiB/s, 平均速率: 5.44 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV10, 有效: 9, IPv4: 50, IPv6: 0, 最小延迟: 38 ms, 最高速率: 9.22 MiB/s, 平均速率: 3.88 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV11, 有效: 11, IPv4: 48, IPv6: 0, 最小延迟: 26 ms, 最高速率: 11.80 MiB/s, 平均速率: 2.98 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.62, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV12, 有效: 10, IPv4: 48, IPv6: 0, 最小延迟: 26 ms, 最高速率: 10.29 MiB/s, 平均速率: 5.99 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.19, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV13, 有效: 11, IPv4: 50, IPv6: 0, 最小延迟: 36 ms, 最高速率: 11.15 MiB/s, 平均速率: 5.58 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.93, 视频编解码器: h264, 音频编解码器: aac
