🕘️更新时间,#genre#
2026-09-10 22:48:16,http://bztv.tvbus.cc:8081/cdnlive/cctv1.m3u8

📺央视频道,#genre#
CCTV1,http://bztv.tvbus.cc:8081/cdnlive/cctv1.m3u8
CCTV1,http://107.150.60.122/live/cctv1hd.m3u8
CCTV1,http://173.208.212.130:8181/1080p/cctv1.m3u8
CCTV1,http://j.s.bkpcp.top/jj/cctv1
CCTV1,http://k.061899.xyz/k.php?id=cctv1
CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV1,http://173.208.212.130:8181/720p/cctv1.m3u8
CCTV1,http://198.204.228.26/live/cctv1hd.m3u8
CCTV2,http://bztv.tvbus.cc:8081/cdnlive/cctv2.m3u8
CCTV2,http://192.151.150.154/live/cctv2hd.m3u8
CCTV2,http://173.208.212.130:8181/1080p/cctv2.m3u8
CCTV2,http://173.208.212.130:8181/720p/cctv2.m3u8
CCTV2,http://198.204.228.26/live/cctv2hd.m3u8
CCTV2,http://107.150.60.122/live/cctv2hd.m3u8
CCTV2,http://k.061899.xyz/k.php?id=cctv2
CCTV2,http://m.061899.xyz/mg/cctv2
CCTV3,http://107.150.60.122/live/cctv3hd.m3u8
CCTV3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV3,http://192.151.150.154/live/cctv3hd.m3u8
CCTV3,http://m.061899.xyz/mg/cctv3
CCTV3,http://go.bkpcp.top/mg/cctv3
CCTV3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV3,http://39.77.22.26:4002/rtp/239.253.254.191:8000
CCTV3,http://60.4.28.19:8077/rtp/239.253.92.191:6057
CCTV4,http://107.150.60.122/live/cctv4hd.m3u8
CCTV4,http://192.151.150.154/live/cctv4k.m3u8
CCTV4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub
CCTV4,http://173.208.212.130:8181/1080p/cctv4.m3u8
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV4,http://m.061899.xyz/mg/cctv4
CCTV4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV4美洲,http://k.061899.xyz/k.php?id=cctv4m
CCTV4美洲,http://m.061899.xyz/mg/cctv4m
CCTV4美洲,http://39.77.161.85:4002/rtp/239.253.254.187:8000
CCTV4美洲,http://tv123.cc.cd/live.php?ch=2208&sid=98a06219f1c7fa27bd46c473dc3b6238&exp=1789092068&sig=a3b733368ff2e19e425110331104982c19a26ec7420553c3e67429176a5000a9
CCTV4美洲,http://tv123.cc.cd/live.php?ch=2208&sid=f303b361bf3d24f772c9eb413034929b&exp=1789092067&sig=1e59aa751c234a61434f0f739ba7aa3ed01231347585f48dbc04b244cf0dce26
CCTV4欧洲,http://go.bkpcp.top/mg/cctv4o
CCTV4欧洲,http://m.061899.xyz/mg/cctv4o
CCTV4欧洲,http://t.061899.xyz/tl/tl.php?id=cctv4o
CCTV4欧洲,http://60.4.28.19:8077/rtp/239.253.93.192:6370
CCTV4欧洲,http://mg.cttv.vip/608807419
CCTV4欧洲,http://39.77.161.85:4002/rtp/239.253.254.186:8000
CCTV4欧洲,http://tv123.cc.cd/live.php?ch=2207&sid=98a06219f1c7fa27bd46c473dc3b6238&exp=1789092068&sig=6eedb32475b13c6f4a7422264399f436e20f805e48d3f7a68376c5eaa0ab8348
CCTV4欧洲,http://tv123.cc.cd/live.php?ch=2207&sid=f303b361bf3d24f772c9eb413034929b&exp=1789092067&sig=c823ba79db2d6ed73129d04d1f843037c98e28fdd25474191f045252bf7bd21b
CCTV5,http://107.150.60.122/live/cctv5hd.m3u8
CCTV5,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009
CCTV5,http://198.204.228.26/live/cctv5hd.m3u8
CCTV5,http://j.s.bkpcp.top/jj/cctv5
CCTV5,http://k.061899.xyz/k.php?id=cctv5
CCTV5,http://198.204.228.26/live/cctv5p.m3u8
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV5+,http://107.150.60.122/live/cctv5p.m3u8
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV5+,http://j.s.bkpcp.top/jj/cctv5p
CCTV5+,http://m.061899.xyz/mg/cctv5p
CCTV5+,http://k.061899.xyz/k.php?id=cctv5p
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV5+,http://173.208.212.130:8181/1080p/cctv5p.m3u8
CCTV5+,http://173.208.212.130:8181/720p/cctv5p.m3u8
CCTV6,http://m.061899.xyz/mg/cctv6
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV6,http://107.150.60.122/live/cctv6hd.m3u8
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV6,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009
CCTV6,http://69.30.245.50/live/cctv6.m3u8
CCTV6,http://39.77.161.85:4002/rtp/239.253.254.193:8000
CCTV6,http://171.119.206.161:6000/rtp/226.0.2.210:9592
CCTV7,http://173.208.212.130:8181/720p/cctv7.m3u8
CCTV7,http://bztv.tvbus.cc:8081/cdnlive/cctv7.m3u8
CCTV7,http://198.204.228.26/live/cctv7hd.m3u8
CCTV7,http://j.s.bkpcp.top/jj/cctv7
CCTV7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub
CCTV7,http://go.bkpcp.top/mg/cctv7
CCTV7,http://120.76.248.139/live/bfgd/4200000127.m3u8
CCTV7,http://107.150.60.122/live/cctv7hd.m3u8
CCTV8,http://198.204.228.26/live/cctv8hd.m3u8
CCTV8,http://107.150.60.122/live/cctv8hd.m3u8
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV8,http://m.061899.xyz/mg/cctv8
CCTV8,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub
CCTV8,http://69.30.245.50/live/cctv8.m3u8
CCTV8,http://198.204.228.26/live/cctv8k.m3u8
CCTV8,http://39.77.22.26:4002/rtp/239.253.254.194:8000
CCTV9,http://107.150.60.122/live/cctv9hd.m3u8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV9,http://38.75.136.137:98/gslb/dsdqbv/cctv9hd.m3u8?auth=test20251009
CCTV9,http://m.061899.xyz/mg/cctv9
CCTV9,http://192.151.150.154/live/cctv9hd.m3u8
CCTV9,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV9,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub
CCTV9,http://198.204.228.26/live/cctv9hd.m3u8
CCTV10,http://192.151.150.154/live/cctv10hd.m3u8
CCTV10,http://38.75.136.137:98/gslb/dsdqpub/cctv10hd.m3u8?auth=testpub
CCTV10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV10,http://m.061899.xyz/mg/cctv10
CCTV10,http://go.bkpcp.top/mg/cctv10
CCTV10,http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009
CCTV10,http://69.30.245.50/live/cctv10.m3u8
CCTV10,http://107.150.60.122/live/cctv10hd.m3u8
CCTV11,http://198.204.228.26/live/cctv11hd.m3u8
CCTV11,http://38.75.136.137:98/gslb/dsdqpub/cctv11hd.m3u8?auth=testpub
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV11,http://m.061899.xyz/mg/cctv11
CCTV11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV11,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV11,http://107.150.60.122/live/cctv11hd.m3u8
CCTV11,http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009
CCTV12,http://192.151.150.154/live/cctv12hd.m3u8
CCTV12,http://198.204.228.26/live/cctv12hd.m3u8
CCTV12,http://107.150.60.122/live/cctv12hd.m3u8
CCTV12,http://38.75.136.137:98/gslb/dsdqpub/cctv12hd.m3u8?auth=testpub
CCTV12,http://j.s.bkpcp.top/jj/cctv12
CCTV12,http://k.061899.xyz/k.php?id=cctv12
CCTV12,http://38.75.136.137:98/gslb/dsdqbv/cctv12hd.m3u8?auth=test20251009
CCTV12,http://60.4.28.19:8077/rtp/239.253.92.197:6062
CCTV13,http://m.061899.xyz/mg/cctv13
CCTV13,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV13,http://go.bkpcp.top/mg/cctv13
CCTV13,http://38.75.136.137:98/gslb/dsdqbv/cctv13hd.m3u8?auth=test20251009
CCTV13,http://38.75.136.137:98/gslb/dsdqpub/cctv13hd.m3u8?auth=testpub
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV13,http://107.150.60.122/live/cctv13hd.m3u8
CCTV13,http://39.77.161.85:4002/rtp/239.253.254.175:8000
CCTV14,http://192.151.150.154/live/cctv14hd.m3u8
CCTV14,http://107.150.60.122/live/cctv14hd.m3u8
